R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0073:180-202,457.645455189868,444.857534708706,598.48959827318,740.5952710527,390.901039762893,351.403677063195
crRNA0074:182-204,626.236074274369,617.718668662124,688.415515924086,790.655528449238,518.215188481481,514.908225249336
crRNA0075:184-206,521.683062647879,543.244582646735,592.920504293685,606.213429301486,422.749803799771,418.925620458334
crRNA0076:186-208,635.892159063172,578.110082549965,579.93028978485,682.86112408612,574.302230745089,588.772545637212
crRNA0077:188-210,538.65775395755,555.996723166263,658.638875761111,656.046524707795,432.817842872829,417.960469166654
crRNA0078:190-212,519.879783085927,500.77750994877,785.920310880394,913.92535100775,255.044595465402,245.978435397574
crRNA0079:192-214,502.02449725249,533.754095971557,850.302533726835,906.067325558781,286.526823390884,291.872490772803
crRNA0080:194-216,407.340657094222,368.017432108127,373.154711874449,373.58134936821,419.727612446221,420.783299493877
crRNA0081:196-218,525.032828954233,521.241068200176,585.08306094158,521.837329315855,491.792722524768,544.947886426796
crRNA0082:198-220,446.454181482843,475.90552590718,518.466731440428,471.692291266231,552.551784591465,465.237465093679
crRNA0083:200-222,599.192709694038,694.656926577365,693.139336615294,585.704906521223,626.425932609833,671.323266062458
crRNA0084:202-224,641.654581302377,650.059518284486,653.136876994476,699.644504193118,723.032409369516,695.917129587307
crRNA0085:204-226,725.375241473595,652.598455297678,659.19719590194,628.998845271138,681.26571846114,648.836833164374
crRNA0086:206-228,1413.06160725567,1436.81665636531,2294.64263014262,2480.23497557136,1019.86538692763,768.766132776447
crRNA0087:208-230,711.487036415555,668.921636454731,978.584403988009,1157.24066245502,408.768475597489,332.439758171552
crRNA0088:210-232,595.467304746208,629.937183941072,877.326335227614,953.971234532549,421.899373506696,403.918982496758
crRNA0089:212-234,600.268744795963,652.131039947149,729.184227729593,704.14129923485,602.327115888208,532.752065856753
crRNA0090:214-236,430.926128731355,484.031555273202,535.007827409596,509.84879208608,452.299335068077,452.640439730671
crRNA0091:216-238,660.679620375932,589.50262938012,642.848566793385,656.730880893514,540.949758163839,565.340099780649
crRNA0092:218-240,509.896271784684,429.147571968348,499.251935138027,646.252728250557,336.842339594046,320.908297923556
crRNA0093:220-242,490.282472456824,527.884003091235,555.486496733014,571.20454307872,463.473117625753,464.217413880547
crRNA0094:222-244,587.092493681486,602.518167398126,557.285490250052,579.472538938975,611.707743588917,527.018605743626
crRNA0095:224-246,522.243363895241,566.210659265655,593.405348728087,610.895550827653,514.427806543043,533.222899165438
crRNA0096:226-248,738.893469045725,724.200485122246,788.948792765412,824.63485265548,581.788824687163,515.519118855976
crRNA0097:228-250,511.998609079801,528.050375708078,425.442070413012,441.46105326964,551.707843093178,506.692770799822
crRNA0098:230-252,618.842278853327,594.700249833979,591.378871067061,605.837400635793,598.162494747219,495.798588130614
crRNA0099:232-254,596.387841081647,604.525449444611,561.080158554796,537.180649740167,595.589011346957,535.658241768869
crRNA0100:234-256,754.542873590219,769.178946471968,1206.48141808495,1342.76626720036,529.220034449069,472.06326582444
crRNA0101:236-258,660.710342320966,716.265437580062,710.217882816609,827.544243978282,760.582600434457,565.345859065083
crRNA0102:238-260,718.791200874302,816.547082389193,1584.13826723497,1470.12946749629,425.382886742236,411.738936253945
crRNA0104:242-264,540.522770461372,648.822207458696,1472.94172720995,1407.75242729323,279.376980785526,243.800081993256
crRNA0105:244-266,727.602526311217,822.985809733498,1287.30947016598,1232.59517800534,400.576885238711,449.910551802982
crRNA0106:246-268,645.359645360109,651.173086512218,651.445953771873,698.901980133486,595.105885118411,588.609633517098
crRNA0107:248-270,499.745554405543,504.221711273883,674.316301888326,775.006159908596,339.628133402852,308.612177396128
crRNA0108:250-272,669.895887246571,643.451913542049,771.014196455365,721.854591073771,593.945530061355,530.932972079283
crRNA0109:252-274,622.991466004477,652.239564969247,599.631926803292,675.090266049485,554.649755983051,548.192320906378
crRNA0110:254-276,622.38580481289,626.677524045647,945.297568931816,1157.93205753308,302.690353916334,236.936020085112
crRNA0111:256-278,764.541695905455,860.703714024537,1055.01154585598,1100.37578458358,407.941065678818,402.177897847068
crRNA0112:258-280,740.192413372355,722.867961543923,1430.90183952931,1461.98027855963,312.258694387778,342.579977977796
crRNA0113:260-282,693.235164865837,650.931186658844,920.843216093427,1092.92076542552,450.728145160126,476.76720459048
crRNA0114:262-284,756.975999319667,758.40945795858,1093.40230764544,1350.29085992227,492.189988057918,444.832811527163
crRNA0115:264-286,664.670912566537,667.157349655197,686.368573876209,674.699119991984,571.533067343736,541.396393096803
crRNA0116:266-288,546.915673953401,521.028445240954,577.161879456252,551.296750804638,529.268047277062,575.636030005738
crRNA0117:268-290,443.179794169856,526.897895273455,693.451030038209,776.698831422263,371.86498705593,352.667089395921
crRNA0118:270-292,659.704413952902,581.271947632565,673.854934276567,751.959726812784,515.015692704966,479.599415452184
crRNA0119:272-294,642.46321959499,681.701501456076,805.405383340725,816.504401686034,470.296409355342,417.364025701271
crRNA0121:276-298,684.062639312132,810.111356213298,1207.28576465832,1585.77873107774,522.971016034199,378.742445554189
crRNA0122:278-300,642.296692782638,716.569698997617,778.361608334594,973.204851517133,717.404280022907,587.839343204072
crRNA0123:280-302,650.089637342178,617.246176980634,612.784477721917,605.197131709108,647.960130486852,618.839556750687
crRNA0124:282-304,712.505542856382,642.253539184259,710.416260028193,659.60613481063,716.973324494068,789.962824974354
crRNA0125:284-306,683.86701151033,748.448280117348,803.224677432402,815.852763424836,681.787923124861,624.314171261898
crRNA0126:286-308,460.545693211401,479.823338935715,479.52563766991,562.043861725743,444.971630118844,402.883822115175
crRNA0127:308-330,470.942689751391,479.809696272356,611.851753557548,607.593743370297,351.436091812051,353.872844930051
crRNA0128:310-332,414.969717412882,525.640664237913,813.44452988698,830.288804864288,295.832332334114,305.487092177084
crRNA0129:312-334,538.637989026107,507.263269032964,1007.66696777648,1209.47684806939,223.830211515642,208.142951671468
crRNA0130:314-336,526.443190576077,525.918056653243,491.893463867962,602.627311830074,610.349417695949,468.848852947847
crRNA0131:316-338,534.186138268656,542.259427321278,518.713872153284,618.074036737409,631.495063084607,509.679517540484
crRNA0132:318-340,492.254191965819,470.155473752552,465.857344004774,525.172253241735,441.509158987923,426.730716754454
crRNA0133:320-342,518.008835825748,467.669139701415,458.5602217455,569.858958499538,546.024799887109,415.143421545051
crRNA0134:349-371,811.62811845539,756.757175346841,1024.40618267727,1058.90762333345,511.259780554376,544.20321356225
crRNA0135:351-373,658.307368179941,773.341230764808,1179.28034163205,1335.05386584839,492.905537199333,418.033996579872
crRNA0136:353-375,896.079648326297,827.362425242901,1339.20194757734,1303.04141259908,573.476679167632,599.418981657127
crRNA0137:355-377,478.637567892566,510.421915615467,686.840145991385,777.443085526182,331.994612240398,308.574695861451
crRNA0138:357-379,506.984686334346,541.527451966199,554.350640550987,539.366170863216,509.698281381947,548.506140914655
crRNA0139:359-381,680.514787604701,721.853309472913,743.818912581405,746.436303698699,734.496700178828,620.265898186213
crRNA0140:361-383,893.873882363986,860.429807059384,998.595535869216,968.461102491895,661.936065742894,649.224765290283
crRNA0141:363-385,582.51893240255,532.473424898173,758.827818911033,1036.32754232281,391.849872082344,304.601515987607
crRNA0142:365-387,574.920508357805,575.96996265269,560.932887675916,622.156497388711,628.190408973366,541.741511560243
crRNA0143:367-389,733.121228695354,683.986359191293,1497.54285583159,1545.09898582513,234.800287894752,298.590136833576
crRNA0144:369-391,851.135541598443,938.854800410184,1678.27618397229,1754.62108855478,570.005632746222,531.555118938228
crRNA0145:371-393,589.20981933653,573.994030130862,1444.98219251513,1455.67185612519,330.726970417523,301.111785946843
crRNA0146:373-395,741.581310863182,750.277832175918,1275.70169702464,1433.10583354532,468.611183310884,448.538353190731
crRNA0147:375-397,730.122582181685,827.709750638599,1185.16139298009,1352.29110438394,414.581273386755,368.378182198096
crRNA0148:377-399,732.039090247125,758.400578578027,986.722854984145,1043.38154194197,578.619872403592,510.412848898913
crRNA0149:398-420,411.678833563132,388.868864557489,368.201418616716,355.748608741613,365.942525929431,409.541008773728
crRNA0150:400-422,492.558517320925,464.702654943548,426.889933500189,501.432902237528,446.690875905274,401.109358518626
crRNA0151:402-424,663.043898063391,600.719176323084,690.514792300943,740.16318312749,507.500423448491,511.646110178639
crRNA0152:404-426,618.566533292793,604.327957316255,655.913508430101,772.820703653351,693.816381029101,635.084606959862
crRNA0153:406-428,622.466384838027,609.025165920583,525.226001104197,578.339816905487,594.652201434187,575.812077191528
crRNA0154:408-430,1029.84868973947,1068.81275333449,1001.23879021968,993.585146020211,1089.09729365188,970.443614467519
crRNA0155:410-432,490.792872602294,442.771752481357,382.910945176269,371.381195602221,407.050154108266,478.990777810668
crRNA0156:412-434,526.07688069353,655.916725585595,667.161785052672,666.687949785245,460.373692532248,414.670125198745
crRNA0157:414-436,556.786862831743,622.745722218241,637.446777438796,630.653308083151,551.543170925264,486.20896121139
crRNA0158:416-438,577.851570277691,678.275690562256,995.493642880248,1068.08548610455,429.027880579921,342.983620718492
crRNA0159:418-440,458.804039158487,488.065479722467,764.908817925172,800.251316396705,243.516267247968,205.206128640744
crRNA0160:420-442,749.990558718908,738.352983514302,798.334626338848,785.771664210037,635.254815970591,728.911495697812
crRNA0161:422-444,493.650250363171,511.648226763522,691.952274256551,754.001583508302,417.97671494437,319.331579881499
crRNA0162:424-446,503.060643152093,571.68490188405,1086.02013596208,1169.1198970901,320.617877075719,287.844460607788
crRNA0163:426-448,679.419330409301,798.172907022318,1403.08575342027,1310.53460515988,437.602224849236,415.365149675357
crRNA0164:428-450,626.631184437828,669.682997233582,659.263494057976,696.717971633395,683.219420525512,535.80033549412
crRNA0165:430-452,516.940798501379,570.561779830181,580.481708506882,654.107062318801,640.730693180828,541.722524822345
crRNA0166:432-454,260.1454821704,218.419992001938,216.689255030099,221.35031454844,238.683952966983,255.646299362957
crRNA0167:455-477,978.838376454678,908.14142645041,989.423616871599,1244.08967476811,790.768018763289,658.124868777617
crRNA0168:457-479,725.11291456502,788.226693543898,1525.92331368915,1573.6640991255,430.572293742044,415.528583581814
crRNA0169:459-481,652.116517693524,771.687925633678,1103.86945392673,1212.3061739686,530.72409374027,430.503528170459
crRNA0170:461-483,708.594384493042,733.008286826913,853.146635005312,949.438930909862,481.874553865662,480.976191415336
crRNA0171:463-485,755.256969230511,741.425124540255,1105.30452038354,1255.49735830022,479.623630004543,450.587777125518
crRNA0172:465-487,861.326684790826,826.854607712759,841.659588684455,890.752813651832,985.867753047595,942.936345240689
crRNA0173:467-489,777.069280575425,732.284943364203,755.143393816421,792.324073523952,807.850014419324,786.345325593074
crRNA0174:469-491,842.102200370761,781.155781289878,723.737923972401,765.638032247406,862.379682719314,910.999809202176
crRNA0175:471-493,601.074761008477,662.244241276263,863.037489036811,949.123067279405,521.003402157799,452.067611764589
crRNA0176:473-495,608.237776385123,703.595418199483,750.935104929302,786.03098795686,745.681510617355,521.13578074339
crRNA0177:475-497,723.4007554301,884.966678644618,1105.7605715968,1150.42926150941,641.674307855233,583.851878790566
crRNA0178:477-499,848.003133028437,819.273928499151,766.005345937458,851.488946185348,762.074120529581,759.6657970059
crRNA0179:479-501,569.023987339177,611.062413170409,604.053292079305,547.142011511041,473.112916882344,502.736343564604
crRNA0180:481-503,513.812926093218,558.985794776118,669.491163138617,827.338980079197,401.681875496676,369.242205296305
crRNA0181:483-505,733.468803883168,759.774662198852,850.426871757354,920.923815590326,742.498648800292,657.900801350283
crRNA0182:485-507,837.672933807516,760.424510062393,741.310418692675,890.658511285523,839.793561874127,864.262307333893
crRNA0183:487-509,754.019008150665,766.189667995533,837.42736044163,880.161158019665,816.976168728601,763.366267999018
crRNA0184:489-511,656.433274401569,665.228564224437,731.208178730763,744.23592810427,644.298668873971,560.148334778093
crRNA0185:491-513,652.4168487402,688.242615418903,910.972042223185,980.979150996385,595.149349888744,522.798785151269
crRNA0187:495-517,639.962585006707,662.973640383104,842.768672854758,792.01866088894,561.771025917247,500.358358687371
crRNA0188:497-519,740.776966634626,729.638370605376,770.556415600565,779.073560017749,606.590178238836,581.410188738326
crRNA0189:499-521,705.731972554629,640.573069733375,689.341567861323,746.6885403369,638.012749649822,644.121103246661
crRNA0190:501-523,731.570171609796,700.243126312665,720.538563566796,741.92583286444,858.485327587814,790.096604087255
crRNA0191:503-525,746.950917087309,827.683903397475,744.618572095193,726.99825478935,770.91884330919,720.230312933544
crRNA0192:505-527,633.281091828379,748.006066902098,676.697430841127,600.269658238087,799.923679588366,654.992270392424
crRNA0193:507-529,674.229442349706,649.973922914164,670.368350066916,875.038722198414,513.837275427598,436.732224497356
crRNA0194:509-531,827.160647097904,807.794035741072,694.677277898214,946.520737744253,918.774381855562,718.55192247603
crRNA0195:511-533,739.751146093782,725.177379103464,955.941127279223,1039.41137844507,471.655187168602,493.727193326692
crRNA0196:513-535,665.626869645804,737.127204572153,656.099969272825,689.833676511877,787.453760627556,645.93309041159
crRNA0197:515-537,575.176845351113,666.279310728793,969.615827685072,922.526016681205,471.657071289878,381.343960370144
crRNA0198:517-539,402.682211386898,513.914373320699,500.000003904048,410.050292641093,391.081928747807,365.638852342814
crRNA0199:519-541,501.308472932895,501.353527222018,663.963129866954,738.894813651829,457.058935440505,341.265173105577
crRNA0201:523-545,359.161037508245,429.640855655692,1057.64586858483,972.834346351513,183.432347190853,169.960651107642
crRNA0202:525-547,478.749148823983,563.593138985455,961.040723320992,945.725010080356,275.00260960283,260.445890791818
crRNA0203:527-549,359.759761360083,398.391718070938,483.408139736036,479.313082331404,220.837390622963,227.514248277849
crRNA0204:529-551,515.545455547731,505.466053186486,669.841698840155,618.28868308897,391.823962845631,438.371234054599
crRNA0205:531-553,562.740377256046,537.983203549244,541.093250490365,490.696388871655,501.13980592065,527.291435298727
crRNA0206:533-555,449.719703740168,388.681008799385,394.768390909362,362.035262174931,407.566364664025,445.440315050019
crRNA0207:535-557,531.526557541917,508.654739265093,494.703281981086,542.287704457008,529.905777559186,550.695963528084
crRNA0208:537-559,510.093468972158,502.274735627306,455.43097114949,477.086673599523,530.028513184815,556.550277416977
crRNA0209:539-561,735.533338217899,834.500613270325,984.337179100851,1100.89709134926,631.254196674844,553.143623959104
crRNA0210:541-563,767.349652448715,843.645440157917,1048.02192965374,1312.38435203778,392.630967258989,337.139920867216
crRNA0211:543-565,731.141391197316,651.234808588292,866.441826917689,979.844183118519,412.922983751014,446.018213079189
crRNA0212:545-567,595.636426554292,610.267723068805,661.319640378572,666.982837773797,498.120687780141,535.46357869951
crRNA0214:549-571,551.158094194964,601.831180191993,607.894407559309,684.939972093545,545.193242576483,492.464488922337
crRNA0215:551-573,563.675232222036,671.390079445151,625.588072281637,585.426085740293,701.308331580174,621.854551527113
crRNA0216:553-575,504.135464564107,479.132962030097,502.778585791735,531.214376402963,444.431182928274,477.846854893421
crRNA0217:555-577,471.16100079801,553.986119765898,577.643050644054,648.234080381834,482.010427975824,591.35203036879
crRNA0218:557-579,494.75446275025,523.230634047592,555.668795471002,591.390656222917,588.777198935976,606.227347853881
crRNA0219:559-581,627.056751267386,690.154442720016,806.477017964956,845.649446343492,614.540467418048,565.164110970203
crRNA0220:561-583,427.022686651476,532.415010041618,665.228466541325,702.411305885614,416.53868578272,380.794629361034
crRNA0221:563-585,607.775390775817,615.77423869046,704.900296298591,719.609062417447,590.405799458067,480.696060288436
crRNA0222:565-587,644.399029775409,643.491852232748,922.929439113125,976.155199248793,532.592520058876,516.475922109638
crRNA0223:567-589,700.159513384143,702.057695975535,667.057611945279,658.201896249488,626.354434003411,564.383800402723
crRNA0224:569-591,621.684118397304,673.059720532882,808.91768531658,806.557213708149,565.433459081465,467.297546728524
crRNA0225:571-593,634.19982069067,653.446381809404,618.780388703955,683.344824378652,701.512159176505,600.561772914249
crRNA0226:573-595,559.616351818492,591.028255512615,670.525842638011,728.430860060197,533.57290108131,502.888244815503
crRNA0227:575-597,652.228466850041,688.90801196036,684.836646518424,782.08221362957,709.341786004358,626.530110878386
crRNA0228:577-599,594.973060977825,568.714481568259,572.250801287507,582.243915404899,539.228042766885,553.110237549663
crRNA0229:579-601,637.014990599214,610.564794173873,631.388827893608,706.325357892216,616.652342286476,642.567284520276
crRNA0230:581-603,278.743157730379,384.636128035992,504.695781870371,533.224650512637,392.458242585355,301.011189642868
crRNA0231:583-605,1327.56010359259,1376.34230704553,1502.47229786206,1634.83573118858,1338.71222031842,1115.69885873715
