SC1_BIN1,SC1_BIN2,SC1_BIN3,SC1_BIN4,SC1_Input,SC2_BIN1,SC2_BIN2,SC2_BIN3,SC2_BIN4,SC2_Input,SC3_BIN1,SC3_BIN2,SC3_BIN3,SC3_BIN4,SC3_Input
crRNA004:7-33_consecDouble_07,218.620501931063,246.030232541878,306.055240991791,246.90655233984,277.098873504657,173.221390069775,622.054844927616,283.836642137148,311.716652768133,250.995173054764,176.969108317758,182.554650121234,247.517914523678,264.064323805165,10141.4513350343
crRNA004:7-33_consecDouble_08,164.387952142971,293.967097589981,336.144119772346,256.661941841257,189.533109445018,191.760734721084,226.346471638965,221.39971822289,209.04204620358,2735.04421032365,542.429957718967,2589.06248225325,185.48675829747,182.54862260758,199.743840937969
crRNA004:7-33_consecDouble_09,133.864011402657,157.249160656647,485.824904860671,94.3942659206366,424.768671367435,196.704658870178,195.540910077612,273.466681110611,130.986650637232,147.438583967334,124.482936274815,151.665529295392,144.99773689936,149.003678868521,3144.99215915279
crRNA004:7-33_consecDouble_10,101.323229532035,90.8484926958496,149.074616755585,149.52863972579,93.3273174722284,102.234118339472,107.304900640455,169.917732891741,131.213597394089,104.010677097157,72.3264397446678,103.500388631982,121.414083533693,125.752276377974,132.989489078977
crRNA004:7-33_consecDouble_11,225.789007602501,180.561936628609,118.961266654358,91.37377017291,133.667674856221,245.254076805807,130.459554733685,116.053697923175,110.805430160753,152.288236551815,179.793246192476,101.329188045534,186.057077333672,245.017926641071,139.949146918565
crRNA004:7-33_consecDouble_12,135.450577058609,147.985626736424,185.728326552442,139.828935481252,140.700044120984,170.489843426209,163.574509918129,187.312093792975,156.486022393299,150.481129484587,133.67133008835,158.423470423828,139.295115267544,161.421805885369,159.108948726147
crRNA004:7-33_consecDouble_13,122.508037471055,191.256037991474,205.325362787661,97.7345063474633,121.888342383891,166.995355854448,154.273442005761,154.346530069958,103.438183644395,152.098284101451,112.091745869304,118.042277638904,139.024959052575,1885.44228747276,123.924388817754
crRNA004:7-33_consecDouble_14,214.125087067134,233.91738819909,229.808130031799,175.452170988474,159.669708187163,226.067406486503,237.202674468721,160.088266518971,187.448083323997,217.062355223238,251.675134596402,207.922750100179,171.833415174954,187.855914255699,186.083017971041
crRNA004:7-33_consecDouble_15,1116.00373564139,148.057618084502,154.167888093236,1376.61763184732,132.265994811851,142.230652041008,152.471018524945,245.859205771196,167.23506740318,147.916840608903,93.7177142334608,144.383508431119,188.926522542477,172.038294879952,136.554601386478
crRNA004:7-33_consecDouble_16,140.934427447632,204.463491187246,233.497858225317,197.436228873462,170.568942623383,143.798399807531,204.93595375837,234.87658107344,195.709691416702,176.290773074521,159.288935374127,188.4108601544,189.046637036838,268.135288378407,172.542644160678
crRNA004:7-33_consecDouble_17,99.2949468277147,106.375477395885,111.25839874865,125.426371294905,104.701739897545,113.399359148608,114.161458586117,143.270703491654,141.088036571695,92.3087183733447,69.5222144987637,103.452855476024,118.689072223111,127.351210985295,113.452198592043
crRNA004:7-33_consecDouble_18,167.862053820657,239.354093860002,184.959886813532,233.867889218166,189.889639258658,197.746314871017,182.862700152504,226.959040430005,218.793340896737,162.712777319014,141.404304689868,193.586160255631,246.971805435527,220.65434944334,186.963468510353
crRNA004:7-33_consecDouble_19,85.1022061831879,85.0918005398622,102.338501103217,117.925918682614,65.7833581573179,84.4156990526668,124.006348756451,141.751113074284,135.590560174932,100.755823766532,70.4065557467387,96.1960227545015,106.440695487547,126.576590203834,118.383955900857
crRNA004:7-33_consecDouble_20,74.8229247967835,118.331030764652,173.884318065531,113.299063449335,111.866288341026,121.434337588127,131.5933297626,142.241870434426,198.862651464254,105.058392943284,81.6587850768221,120.9980206379,142.084946865683,155.551841611629,109.298954610459
crRNA004:7-33_consecDouble_21,163.19784021356,125.844509321544,230.940408866791,175.963045637287,177.713525006294,137.242331604916,190.791051034528,211.821597131673,220.011353947776,146.134577009762,118.837659228096,148.651913981722,212.54602694479,163.674187714431,166.943372697966
crRNA004:7-33_consecDouble_22,139.362473405877,175.301304438621,182.334484447937,201.013424944987,150.644955560806,168.765063043149,222.768248833389,227.128632215171,115.94200390795,181.099216828833,112.191536902773,141.200655332728,142.87812490686,168.578727872182,7414.30335991097
crRNA004:7-33_consecDouble_23,144.909661694076,104.684271062464,103.939613345699,59.7202121626512,85.8302712165801,193.617230620519,100.553431140109,78.7636752251192,69.5733251003419,87.1504234893781,125.970450002139,64.97240257409,61.8294179094603,83.5936458447104,148.668699538307
crRNA004:7-33_consecDouble_24,120.800075813583,62.7993374101179,62.2206751045055,51.2897494324163,46.3188023580606,155.924876582996,68.7744660865491,72.6513441395858,45.6738760561782,70.7690634148854,109.032223328096,48.5149722877662,43.4393162697574,61.8778653494908,85.1451089469511
crRNA004:7-33_consecDouble_25,316.899445586193,83.6675098916485,77.9618870097486,95.6653900331824,108.666885177879,328.030824882864,86.0852279751145,95.792126799748,69.3541991755163,149.350525521655,553.715572031581,89.4045219874386,86.4321223419733,101.808599431928,156.911713789667
crRNA004:7-33_consecDouble_26,433.077691656968,202.955660055704,156.81635692721,143.255169237978,558.336814764708,525.464587164732,160.527347010348,165.985178787228,194.443057054807,209.688559496655,433.256190815945,172.026814742562,159.47852526999,163.084240425915,217.602685865463
crRNA004:7-33_consecTriple_01,976.61327939171,2298.79692454006,96.6659639118133,76.1557059245737,327.870059825314,429.547558999159,82.5813791082919,81.227284960458,91.005305064773,162.265078415011,336.513470767949,107.057494196479,69.9586736382911,98.633914755521,163.303120167662
crRNA004:7-33_consecTriple_02,113.807161872263,168.993732838007,211.045249668427,138.99083155361,204.955364668219,142.260596805978,146.562792710097,231.945667700316,251.40936162122,145.606858898774,133.893363857057,661.676589281401,154.13677847412,180.633613654794,190.112939234647
crRNA004:7-33_consecTriple_03,182.807605387038,140.22854167102,199.137379572338,166.949434827535,164.172195523178,139.168618079997,137.916769272808,160.41349071433,200.188202678728,142.759016178967,104.482932816229,171.240425971268,159.125331191424,170.764644917646,148.936312839122
crRNA004:7-33_consecTriple_04,92.5513308334117,166.911555113756,259.307401585863,211.504763816846,189.730289320958,125.583547400141,175.50804402571,203.164108638265,235.606978100683,188.438859005484,123.143192775733,723.181421741341,179.55532208461,191.825863889034,174.769266415977
crRNA004:7-33_consecTriple_05,162.140184050753,262.149559745367,323.586366388131,362.79099761911,272.043729073355,180.462799533838,207.831832419449,1617.35726139779,249.619107780439,1040.77590726055,160.823137812,278.190431768964,299.276970078868,315.334517079618,309.744497772016
crRNA004:7-33_consecTriple_06,200.961998184331,227.647865841908,274.665955322283,309.006214605893,206.640784132102,186.470161857751,286.660642978098,280.838016575125,258.277070373791,226.509324711158,209.825707583782,223.134474411424,304.892893652767,273.056657104253,228.585320824213
crRNA004:7-33_consecTriple_07,171.325517255727,197.634948441161,331.585311166226,221.147008467846,162.366935614155,187.537565225943,199.297094759268,290.211745868176,328.540613723527,203.172159567556,134.62241978939,237.352451756427,278.858866568891,297.215788987184,220.867183037937
crRNA004:7-33_consecTriple_08,47.9799122543188,90.3382365786299,119.893998194801,85.1166037461983,95.4938159489252,72.532684190987,121.49854507115,97.5886060980254,88.314131035198,77.4712702993347,56.4315803184088,442.111154835606,63.2183927198868,98.2303415442579,77.3140034746996
crRNA004:7-33_consecTriple_09,108.283821117189,121.529090386275,167.063182966684,148.35095621697,120.469976260176,101.936050854383,129.137597083469,174.73912083513,170.304993364503,142.599347349621,97.5600479774818,108.279961018271,130.32425894547,190.460064097468,112.54038112292
crRNA004:7-33_consecTriple_10,124.492819928216,139.418461167304,178.965340191176,166.596334222615,119.889473919963,102.21374921873,248.937038649075,199.349280061916,160.454146815808,137.692552821264,100.148857293085,125.008685441311,193.356207146201,160.241018508293,154.421984001167
crRNA004:7-33_consecTriple_11,79.7347539540484,123.286198404114,139.711033293958,98.7618460428098,100.521313272492,97.1674949962006,115.085420674507,142.409400046342,134.393061165243,111.478209922302,82.7095552335984,104.462990798267,145.906575600599,124.342196630959,129.193967088459
crRNA004:7-33_consecTriple_12,239.771351533557,306.060416291983,434.53513201971,329.820394997904,310.344338391574,247.534710691358,388.869013012894,363.028908560234,444.445301163058,271.175909614064,261.531469130966,332.635802353728,237.926759291063,391.591178967389,282.121674365141
crRNA004:7-33_consecTriple_13,311.358879748231,34.6116847488338,24.0844597082453,31.2994838372648,8.36143119229328,39.6297993718762,31.4376825578453,70.7145044142029,41.8684680990959,23.4391142088466,18.9651253544978,13.9333363754668,39.182976368987,40.3136621312394,76.5791998697298
crRNA004:7-33_consecTriple_14,73.7009984185479,87.82675679527,142.028991907377,155.528653886236,103.797974425783,68.7681235699895,120.721397841376,168.821234164058,98.535495969882,117.437113297557,71.5665958384357,84.4153932940584,134.073137761236,146.364728550909,103.949878011337
crRNA004:7-33_consecTriple_15,154.938810533087,161.57102660972,167.071573429485,192.035680443972,103.146095094391,122.941996535884,148.780387511681,219.648137786486,164.479265264446,151.95656470574,105.076460559171,115.154041068544,153.281250275663,180.517727970997,154.571411174525
crRNA004:7-33_consecTriple_16,88.241665388758,97.2917094664387,135.350070186075,119.684730321944,90.3881194157007,118.159385705031,111.082197312001,133.231601900106,155.548980429954,102.439047045108,67.1953777595781,100.636009809291,112.314031077146,134.932239750217,115.706301114799
crRNA004:7-33_consecTriple_17,217.087560897535,183.144105833989,246.46613853663,344.05521067735,188.391315023907,191.837724383363,199.378608040479,260.336529913948,252.519856554002,230.308685026049,188.523168378948,207.15515661165,250.378127499109,255.974650046644,171.165639862138
crRNA004:7-33_consecTriple_18,94.0666806417033,118.629501810702,177.855777839331,118.87475070685,88.0908045869633,86.41744157163,135.880505481503,149.937904775068,174.181269871877,103.977636730757,85.9227351187968,137.318644373866,165.88693698468,144.603842215984,80.5761628330473
crRNA004:7-33_consecTriple_19,63.908302530915,97.7023158425148,125.13774653542,170.746044108254,96.3224453939668,81.9576484453456,101.024363636195,197.353597599018,128.541451967339,112.006428918609,256.523817465314,92.3594272286835,124.250594737978,118.584588211376,91.4283391106218
crRNA004:7-33_consecTriple_20,68.1148983654224,99.6448701432146,147.832889740715,117.029067076644,62.0715136192921,75.7514980200822,231.206811144745,112.488594739054,123.8342582545,91.2080290398842,49.5138248038751,79.5554268774779,109.789852842011,130.444194725825,127.46738879009
crRNA004:7-33_consecTriple_21,95.2635284610442,133.110463963267,143.678929856495,188.069649732508,83.2123477271095,91.7311951011182,174.659735968625,164.958258821185,159.71234604597,109.778384242396,94.5619381985311,179.144497276535,130.858255590875,114.453284843513,114.555219522073
crRNA004:7-33_consecTriple_22,44.8344209322507,80.0260059168481,102.182477011706,93.0308953516952,53.8553142989843,82.9705964664054,78.2944231996299,96.9961182382434,80.5141762079021,483.991505768547,54.8228010852425,71.6757958115268,76.8986783551779,88.839226099137,102.739566772199
crRNA004:7-33_consecTriple_23,28.0518677325124,51.2779273059654,21.3070582504776,29.5443590320128,26.0856865108466,57.948139872614,105.864622866283,57.0862900887599,20.8740610588909,36.7683323479766,22.0256442481414,24.3137013200228,36.2500661006334,32.0992197802504,76.438602387029
crRNA004:7-33_consecTriple_24,153.699786552285,57.1980334803262,49.2961062381082,40.5044094181948,48.0238536433176,164.164258518317,52.2594401985015,37.0230885857858,48.6999983566879,66.7685059982328,111.421829045221,40.7515174701738,32.0676870266118,67.6449997924179,102.185828235816
crRNA004:7-33_consecTriple_25,333.958626242569,131.180777785681,443.78432069448,79.7227406297906,183.81672151807,413.70662882282,123.117235014234,123.507484292976,110.726692963934,209.335107346581,373.91956269706,121.890561809196,146.329910689349,122.139179300685,166.148889042829
crRNA004:7-33_FirstOrder_01,121.853626551404,1952.57988591755,69.6104305897219,68.2519102569127,90.3794980751558,302.744730837168,75.8428170625332,64.2409280711851,67.708349961243,109.956147150446,249.169205512139,43.0881461200087,60.704685348304,73.0346377434454,161.101319750265
crRNA004:7-33_FirstOrder_02,275.176652063568,93.4965602404235,95.8454447896927,77.248441060045,93.186467181623,294.009495292836,76.3569725687097,81.3815343417759,68.3285733122327,118.4416709393,209.158987169145,87.3647356422334,85.3159427601403,91.2414732312893,179.208248122014
crRNA004:7-33_FirstOrder_03,240.435902674668,100.090087502806,85.4027092362518,75.5562010695154,122.124693571893,218.124749081229,115.44805138316,265.328654819144,64.6682615249041,127.393251454919,167.201438805634,114.848127395887,65.9952177372855,99.5186624773794,160.838945972885
crRNA004:7-33_FirstOrder_04,934.021942052639,189.325975861881,183.542052279895,122.907488772609,178.916162160307,473.558613284954,159.999345776736,111.618518458263,143.817053629748,221.079728746722,363.363061046892,192.156709783291,159.425807442867,133.810151749433,243.84195520412
crRNA004:7-33_FirstOrder_05,622.154543921503,226.195628931785,360.935398395106,153.773389846099,255.010870018403,605.193871305245,236.374839403088,161.359781949926,142.777543246009,316.174954074415,380.97722180035,203.147960015537,185.334624107955,188.998911208943,6205.45762997734
crRNA004:7-33_FirstOrder_06,303.068360152828,143.867642761405,146.174277912931,132.63248059722,254.73218297759,254.682219880648,1694.82595984987,98.699471270041,139.750470875154,1718.12559435351,283.725676599019,143.917914903101,177.006405269699,136.943096879581,201.844053240235
crRNA004:7-33_FirstOrder_07,297.526813324733,164.058992992518,120.070538606189,111.241379562192,174.092073194573,355.653998171695,154.746826510823,134.335571943743,114.750136015494,177.033725201054,273.127325367782,129.025099557199,122.840257573172,160.418108551303,159.604899125146
crRNA004:7-33_FirstOrder_08,229.102673661279,118.576123929403,133.518687241551,69.1669930302178,169.038574754723,294.865370449708,112.351178696471,88.3569010922482,76.949613011996,152.04241958332,262.26849099014,118.085850479455,87.3195847077139,93.616031126296,132.892542384136
crRNA004:7-33_FirstOrder_09,303.757245800202,137.843811184937,116.382920263483,135.656338355263,146.896323744291,303.573946642501,167.521766353849,132.386694876124,144.525597382159,161.695324853148,280.66525667858,178.428802183356,153.88813926506,122.887909356273,173.484172818795
crRNA004:7-33_FirstOrder_10,162.522117553509,126.060074906252,91.513366743979,64.2715472565131,67.3580764102264,167.43829718205,110.911265174505,75.9609931730435,58.5953351051286,142.284431473359,114.951926736947,74.2097133377061,589.174108722925,82.3458852531686,102.740277641875
crRNA004:7-33_FirstOrder_11,218.006071036809,119.744685646023,83.9072735970674,102.264284275373,96.316000807778,297.817116664488,140.49573418852,78.5900439634694,102.798968486589,104.931302220247,163.942005083526,793.149062524796,92.6006819277108,84.6532589213195,139.496510406579
crRNA004:7-33_FirstOrder_12,200.280965638315,147.19033215557,129.463051402192,113.464286679381,121.546757657499,223.170382128706,134.048381259762,126.078950803914,113.606564655786,121.784928093724,175.078918837285,111.780125663584,124.13889977513,100.17191219209,158.400547623017
crRNA004:7-33_FirstOrder_13,129.114608277743,96.2714915407366,80.0697334549739,40.8186822790641,76.4873282410808,149.579290553099,71.7414388486915,70.3421930796392,71.2392096819752,100.870012885174,134.033623497366,49.5932363024808,59.8039696165624,75.6720910714352,90.2503685923211
crRNA004:7-33_FirstOrder_14,467.062597308277,135.911149581041,163.343383850471,79.252261754063,120.608981242421,396.212432549839,127.535906152166,104.902486554949,86.66692266997,216.087699810539,380.249409112396,142.484597555704,121.178682844052,178.340691612464,1999.62554732798
crRNA004:7-33_FirstOrder_15,110.91164831131,96.2656225024394,69.2227983528379,61.8369101260122,65.4346579051448,138.203995319561,92.6373747914655,109.639532916537,64.148260722354,82.5348608481825,93.290232481978,66.5154240248078,69.6216574072104,57.6314615335895,104.268071300688
crRNA004:7-33_FirstOrder_16,100.285858442217,119.828733346546,134.120891547849,103.502461707039,102.634471461275,137.62992268664,139.353182271486,120.290037582259,79.6552752300753,108.625702980131,89.0418398466213,98.3794093453819,123.90919312957,178.174023810223,116.062173376265
crRNA004:7-33_FirstOrder_17,175.661993626675,175.382914087369,356.312977918289,262.393872285253,244.88697456512,171.720736688571,195.509746818315,4656.25525363926,201.521704878888,1305.1978678575,193.44594403089,252.709000766209,222.220223306867,208.885015699934,174.269277039457
crRNA004:7-33_FirstOrder_18,168.983177693039,311.402858127254,311.01891017814,340.935762323134,171.747987301927,180.584391221966,212.649371972917,255.928864884814,189.783787668574,1736.62286429129,168.17186424948,237.317613855076,254.153850304016,154.061818017037,253.447822858482
crRNA004:7-33_FirstOrder_19,192.600010168883,154.162990537492,105.237133512433,181.341047067594,136.825399665542,216.439942480762,138.525523640991,149.610478301477,92.6446960176009,178.550841481176,202.606865505935,148.121068537785,125.665191586532,101.451787570886,166.353811351041
crRNA004:7-33_FirstOrder_20,88.101803629839,70.1683257547205,72.9548717867311,53.0167897809211,48.3201303114624,97.256205344586,102.846945440477,62.2675163366711,57.2617868114204,72.8143148923284,63.8800928747589,55.1175235704276,60.4772605685925,61.6264689680294,104.678295450239
crRNA004:7-33_FirstOrder_21,190.915101258353,116.590299848068,124.456017219484,101.352793939975,122.115370467985,210.19117042387,148.558190703055,124.248551654504,98.5144353229464,129.301687488063,177.166798293666,128.785182093349,106.407787250294,125.223619525243,129.233311448045
crRNA004:7-33_FirstOrder_22,168.819957934061,119.437657133866,155.83409145074,74.8950882824888,121.014545927849,210.109075224637,125.313715485012,149.215786867375,96.7045958338352,125.151480457835,156.139308316076,132.808752439575,170.818879428966,80.1949634626533,142.905066757765
crRNA004:7-33_FirstOrder_23,315.11569778804,135.742245955469,119.858597933509,82.0172027176054,180.029526471993,591.931636093447,233.100215513769,106.368314449557,90.305784532273,212.626039866761,315.146255398939,117.227493015618,123.299332196659,75.6603764419828,156.442440119174
crRNA004:7-33_FirstOrder_24,490.078730935103,60.6421955055756,278.22898864897,4287.33144116755,57.6265446579249,5169.50836274249,106.111340494565,69.0221761821831,72.7152496644536,112.098227774475,172.463770757186,79.4598214231151,98.8235255072533,101.610394981199,160.435414808568
crRNA004:7-33_FirstOrder_25,171.036179940989,59.1463321418537,41.0390854023864,42.2321002277257,79.9948690775749,195.308505250791,52.8930450819236,66.9849978525301,54.3808851345184,94.9440897610931,125.293140310991,36.1622034577046,60.5826396820164,61.8031718443599,94.8573477419121
crRNA004:7-33_FirstOrder_26,320.166315319274,95.424872633557,73.0638717121747,99.0610927499186,125.103971005108,318.677987645077,105.6320964911,115.308890941906,82.307923665144,148.889234492135,241.579748489513,139.180196940318,77.2086555578704,96.5103739790824,151.735069002829
crRNA004:7-33_FirstOrder_27,572.942824159392,167.18639746378,134.59932153961,113.528871604188,122.611297503568,337.296101228905,125.140131614515,91.4766245750086,92.1080892219009,1844.61509788137,385.434984509018,111.733523704907,133.816321911884,140.493422626372,193.718247428321
crRNA004:7-33_randomDouble_008,204.856860912104,51.8983384388845,64.0019850142393,57.1397127206847,96.5850646167452,216.419611385742,64.8140401736629,56.2759732350836,39.9545367760163,95.7028344876472,197.614563771926,52.9174460011845,49.106674129275,53.2969757056133,101.144774826596
crRNA004:7-33_randomDouble_010,188.982351802895,97.2210219159294,65.300138657227,55.8775283827351,86.2312994623855,235.588156754072,70.8540810576146,70.2377121541915,82.3313754248628,96.0367196908749,187.471753464401,63.8197308593462,52.5603588547478,71.0992061876272,130.848197725482
crRNA004:7-33_randomDouble_016,77.3348579898351,98.267196697993,92.149755642138,84.4155122253434,47.2108773397437,70.8177932652803,96.0762489584152,123.255940000434,77.2901499292209,87.8312715558628,84.7303531987156,84.1931356329035,80.824424124232,119.002587990067,82.041486136887
crRNA004:7-33_randomDouble_026,315.83528720519,120.589026309223,83.2526514910917,69.2496621121989,193.032004433148,330.27374851473,100.892774510981,78.3921929083381,59.906133927375,155.43222400114,240.697330193525,398.259924437539,62.2256964306347,78.3968869902618,318.193175469222
crRNA004:7-33_randomDouble_027,370.251564765788,103.918247581709,76.0935180285732,73.9672758931866,107.673587329048,306.604715767306,74.0349665333362,79.5342659693204,85.9965850912025,132.571160952292,275.459110595736,76.2187561645415,90.8916968097,80.7329583723812,149.0249807732
crRNA004:7-33_randomDouble_031,262.332383318516,65.2126231828412,83.9699159324093,42.4904032677786,119.603960997779,263.69449366739,67.6384849991439,49.1417572777559,65.8800602766346,148.515860377498,227.372027175681,59.4531596640204,67.4939499181167,69.4902907533396,143.203235938427
crRNA004:7-33_randomDouble_033,124.479436513061,66.8909798312469,54.9571559961699,46.1903089011701,62.4755237396565,131.670348187003,72.8537423173775,63.0898882135502,70.5254041674909,68.1418590917535,101.8273497223,48.671069706625,54.757286416173,71.3182450633083,81.7875544174156
crRNA004:7-33_randomDouble_043,104.857563454891,117.443860757061,195.908811988599,131.063900192196,129.748993298223,120.119367980063,149.004075323681,168.642844412907,144.018933254887,105.248841929951,96.1329965455279,132.538769424813,121.109002884366,152.148270933581,158.770101141906
crRNA004:7-33_randomDouble_047,89.311635927532,104.721707549819,55.147357441333,102.507149746949,76.3424014043578,93.1411721983712,96.8007467409163,103.092866645036,64.6699019648434,541.273604739538,90.272781083828,85.868076557367,110.284069760995,86.9672075284373,74.9480459407303
crRNA004:7-33_randomDouble_055,202.661326668804,148.188564637445,70.1675814064041,56.5322409550896,117.771629384626,155.823200668009,96.5619588236077,302.361614263646,905.670153687315,99.9430413670501,162.675788365016,101.925793852573,73.7424342808407,84.8403685107002,117.304567904636
crRNA004:7-33_randomDouble_063,112.043132057634,126.664491807359,100.36685565477,129.333364547748,77.8300232720685,106.220840798782,355.482356290992,120.323790102343,99.4174576181906,420.796901249908,105.160938780804,68.2028080100617,151.837035086753,145.971322568318,111.237153533961
crRNA004:7-33_randomDouble_075,80.0305480496929,100.712922510671,81.6529938725765,75.4415891439418,42.6833274510492,74.4204543742148,112.453902015219,94.1020108144661,60.4664081070014,65.5278950201013,40.9140799692086,82.7253394026838,90.3102014551049,59.4420314284103,77.5142729102321
crRNA004:7-33_randomDouble_078,120.215433318058,61.6341114302245,40.3455310834347,39.5696405170822,73.0559282731948,127.986072880076,79.2587141859448,46.6422792753526,32.3980586662525,69.1566081696336,85.3183830660769,37.3916552688919,50.7413144296925,45.8639555151775,92.2389849255695
crRNA004:7-33_randomDouble_079,242.239480065313,105.17193591624,114.594458895257,64.6631039339461,101.766453067512,281.58588697875,85.0451754981756,101.069648757843,94.0375209547688,138.598272381021,193.219462949511,91.3280905467764,63.1136692859085,253.939739912571,158.427674166739
crRNA004:7-33_randomDouble_087,130.103734366123,231.980358197346,218.069726791542,225.602080358545,446.149137227733,173.290219631664,398.982429166736,271.42254490533,190.878641637292,194.29598979233,133.509948958113,178.801034257039,277.475345745825,262.224642889755,208.240081631108
crRNA004:7-33_randomDouble_096,185.222087377168,243.651771501356,229.26660816956,249.720798152132,190.514429939418,193.89306435128,253.206183310626,332.102219335051,195.717868517462,190.02570421822,157.811044556076,202.458511866385,265.73287031085,196.324186456316,208.142413322338
crRNA004:7-33_randomDouble_097,135.392501413699,133.539101584779,176.474992107545,150.314767801005,130.393117045461,128.57777325065,137.518945579593,224.667625382638,175.51936778299,134.321596515056,111.815259088354,111.029031879879,189.009466397366,180.859984118733,172.322206805274
crRNA004:7-33_randomDouble_099,201.131361390764,241.331818405082,369.82189109134,239.039041086895,279.788900247255,180.252248015015,223.898916956311,326.131147069618,297.285863948295,219.105230254315,182.50229179118,276.176674131257,252.027019074659,315.576528894397,271.8104377662
crRNA004:7-33_randomDouble_106,242.274135172049,108.116905459802,110.709832801903,78.1681587787056,95.2281747213857,267.352171262644,144.939241981043,131.559601120084,77.2943070408448,106.261135254744,221.808930409494,89.90398019027,90.5971479561393,92.9623353383804,154.425899387157
crRNA004:7-33_randomDouble_109,1516.36855009758,360.820792824597,438.466916470988,167.480372976203,206.741744181142,1240.71978105011,11437.2971384607,187.096674372419,160.9735861266,235.502870379985,464.029764062665,2234.93091885481,127.583975561643,190.495753669059,276.188921286348
crRNA004:7-33_randomDouble_119,347.453640180525,304.118368900853,415.770177720261,405.272798087435,307.417685039736,242.051654884145,4452.51115539492,300.751937526804,290.750039710755,260.738424406973,266.341865182142,364.310208285499,385.968844931934,273.216932034817,219.988249352173
crRNA004:7-33_randomDouble_120,289.616537599268,240.614229051811,336.246361011461,241.352407747579,230.14373515112,272.598370183474,271.80968401697,310.482406067169,259.340206297685,219.095015237613,230.793033041791,328.102277680036,236.693778723556,315.211049986526,271.711044651392
crRNA004:7-33_randomDouble_126,305.027218025775,1016.46856571142,373.45938625982,1293.79747965034,415.456365771863,297.008801520053,323.694167948055,381.832274697581,359.164496523119,273.413759111346,331.128305759524,335.449271695415,290.594607904207,392.640670293989,288.560858624627
crRNA004:7-33_randomDouble_132,195.780482318099,152.141035100696,128.079433058939,91.0052059917648,119.783439791663,253.327109085847,133.915327621701,139.313516422649,85.4174916553898,146.733915171973,181.887812402226,119.294296909501,119.290068486144,86.3566128263523,229.279126520506
crRNA004:7-33_randomDouble_146,138.200089312111,189.321559208551,207.413964434787,159.267526834062,159.279995148184,197.528472098704,190.02564380309,200.632396855795,171.097790708646,155.128637211855,124.229690710677,173.30022701218,155.287975262038,165.752024037292,194.598832120066
crRNA004:7-33_randomDouble_149,239.548461667209,1231.44675087054,213.500983920251,141.014583868007,167.740476158334,1736.45545154422,2200.31313120064,163.582817392653,138.572385773009,460.438327237324,286.407242973278,234.742957598431,218.012824151928,190.198482335685,153.73881874147
