SC1_BIN1,SC1_BIN2,SC1_BIN3,SC1_BIN4,SC1_Input,SC2_BIN1,SC2_BIN2,SC2_BIN3,SC2_BIN4,SC2_Input,SC3_BIN1,SC3_BIN2,SC3_BIN3,SC3_BIN4,SC3_Input
crRNA001:1-27,778.444647024678,297.714678734027,319.338649349752,266.081657247914,455.147811733814,644.825901353114,227.333738721194,190.198970311372,345.874846210173,385.563065121482,779.160447801667,336.210142442676,221.579853253044,253.293220383259,522.212362396799
crRNA002:2-28,574.44462725552,251.833459932732,215.224494768722,224.072153603209,293.258182884382,549.18751615847,263.0595051153,196.420916053879,217.045456856459,293.775063828093,593.976967768076,203.390155592614,221.000024336721,218.076049077168,287.385918365252
crRNA003:6-32,434.910550169199,182.276368098185,125.990356353127,176.005013301797,174.710671258078,496.447045373834,225.639307104601,150.276298214471,109.971982486011,245.141462668123,282.508897668646,140.917400724851,178.302582047237,143.662487624523,1238.11673270023
crRNA004:7-33,419.941661465758,175.990590690334,169.416112218861,103.793553362731,175.989523403953,496.778968786491,197.979125826047,153.669423480001,123.90829820121,211.055637026866,393.909444128879,120.27880122888,124.857695458928,170.163173458547,246.878779755039
crRNA004:7-33_consecDouble_01,599.231529920067,150.908735081247,117.40507659216,103.647782774055,1022.46903475777,359.829869967069,8556.6046341829,102.979233464182,116.811154146479,185.816465432565,329.681315381104,93.9404259555069,123.696648538588,128.656496419456,21626.1603497334
crRNA004:7-33_consecDouble_02,267.805997464052,91.352421367044,88.2336562277898,55.5989557237543,116.350960073386,276.342987864985,79.3012150756439,89.1780526742331,63.9721007179701,128.987948156058,205.519045054661,64.6350441879718,54.9322420165291,97.710608761874,177.06703279458
crRNA004:7-33_consecDouble_03,245.097116875438,180.460896366892,142.546222384423,108.061679157198,173.207385801885,249.272267450655,200.487778481125,285.368179681643,126.546641910898,176.885229301421,237.328813280725,143.466524542676,118.180943202901,126.286226880266,172.043005524968
crRNA004:7-33_consecDouble_04,178.98290166452,208.415088784252,255.77998934706,183.324268777594,198.38713846683,186.713923895946,254.200044233107,241.282427965829,195.262867200839,200.794368053071,172.04150409419,179.776561258892,226.87335681703,223.481301215161,177.40114505478
crRNA004:7-33_consecDouble_05,135.094328243647,109.138432526632,193.737977868966,112.633532313106,131.638346196782,108.09547280893,145.452722896455,214.938702397305,132.172023085429,120.949157725971,77.453820985778,162.326883536412,173.37909505936,149.487926342344,135.600076830119
crRNA004:7-33_consecDouble_06,821.683648619252,177.138429130834,223.287717479152,180.269758764256,170.76316131827,248.405427451595,159.974031783604,312.083766855107,251.339089574027,174.699613671585,172.26049245204,173.249987167599,233.731035147393,323.560892038285,200.721605035744
