R1_input,R2_input,R1_top,R2_top,R1_bot,R2_bot
crRNA0127:139-161,509.500542412806,512.2742749948,448.303148146999,498.772408894308,579.382590618881,602.338346520965
crRNA0128:140-162,353.621879961336,315.048679121802,289.928246807318,382.694466460724,317.972503558647,297.707458625305
crRNA0129:141-163,581.650094747486,605.76433018135,648.826208714175,449.80202693014,646.64600483321,548.929035006791
crRNA0130:142-164,611.935092023772,643.544557962217,619.450218949557,477.914653613273,646.64600483321,560.79777089883
crRNA0131:143-165,551.365097471201,467.450275932755,397.214470295489,395.390491414397,495.303322850969,494.53066216828
crRNA0132:144-166,678.740233074402,701.175413899132,678.202198478793,664.727592217323,767.414407627119,727.949134711708
crRNA0133:145-167,647.564500584108,717.183984992719,857.012570959077,611.222915626843,675.691570062125,798.172488739604
crRNA0134:146-168,900.533301362494,804.910954585579,841.685967603624,973.059626806532,999.778929458438,764.544403712161
crRNA0135:147-169,774.048900973301,857.419067772546,917.041767434601,897.790336009754,1007.42249925552,663.660148629832
crRNA0136:148-170,888.953743580385,882.392438678542,899.160730186573,687.399065348883,874.424384786279,1108.73774458128
crRNA0137:149-171,749.108314981066,519.958389119722,583.6881444535,605.781762075269,834.677821841448,542.994667060771
crRNA0138:150-172,501.48392548673,500.107760963673,338.462490766253,449.80202693014,828.562966003782,498.486907465626
crRNA0139:151-173,651.127441440142,701.175413899132,434.253761737834,671.982463619422,816.333254328449,739.817870603747
crRNA0140:152-174,680.521703502419,760.086955523534,610.509700325542,637.521824459452,756.713409911203,738.82880927941
crRNA0141:153-175,832.837425097856,945.786380209149,822.527713409308,871.491427177146,889.711524380445,827.844328469701
crRNA0142:154-176,647.564500584108,964.35632267771,744.617479685756,769.016368622497,966.147222351273,821.909960523681
crRNA0143:155-177,768.704489689251,633.939415306064,763.775733880072,759.040920444611,828.562966003782,697.288233657275
crRNA0144:156-178,870.248304086209,863.182153366237,941.308889414069,828.869057689814,941.687799000608,961.367607255136
crRNA0145:157-179,877.374185798276,828.603639804088,682.033849317656,703.722526003606,1045.64034824093,1250.17351396141
crRNA0146:158-180,558.490979183268,620.492215587451,701.192103511972,561.345674737412,551.865739349382,619.152389034687
crRNA0147:159-181,669.832880934318,706.29815664908,554.312154688882,704.629384928868,741.426270317037,803.117795361287
crRNA0148:160-182,497.920984630697,627.535986868629,595.183096970089,633.894388758402,738.368842398204,656.736719359476
crRNA0149:161-183,547.802156615167,661.474157587035,647.548991767887,486.983242865897,669.576714224458,715.091337495333
crRNA0150:162-184,754.452726265116,817.717811460449,705.023754350836,621.198363804729,895.826380218111,880.264578659538
crRNA0151:163-185,964.666236771099,1001.49620761483,987.288699480427,1346.68550401463,1094.55919494227,842.680248334749
crRNA0152:164-186,974.464324125192,909.927180959513,1001.33808588959,712.791115256229,1181.69589062901,1022.689409364
crRNA0153:165-187,883.609332296335,865.743524741211,940.031672467781,1089.13756924012,866.780814989196,729.927257360381
crRNA0154:166-188,956.649619845023,825.401925585371,877.448042099681,808.918161334041,1001.30764341785,842.680248334749
crRNA0155:167-189,1002.96785097346,783.1392978983,1298.92963437464,1175.28916714004,831.620393922615,667.616393927178
crRNA0156:168-190,570.070536965377,601.92227311889,560.69823942032,568.600546139511,862.194673110946,478.705680978895
crRNA0157:169-191,586.103770817528,564.142045338023,568.361541098047,498.772408894308,457.085473865555,505.410336735982
crRNA0158:170-192,659.144058366217,708.859528024054,869.784740421955,934.971551945512,509.061748485718,728.938196036045
crRNA0159:171-193,556.709508755251,652.509357774626,1062.6444993114,835.21707016665,424.982480717807,347.160524842133
crRNA0160:172-194,828.383749027814,629.45701539986,1075.41666877428,1099.113017418,623.715295441961,546.950912358118
crRNA0161:173-195,795.426546109503,885.59415289726,1330.86005803183,1170.75487251373,565.624164984131,476.727558330222
crRNA0162:174-196,1075.11740330814,1053.36397795806,1150.77246860526,962.177319703383,1196.98303022318,927.739522227693
crRNA0163:175-197,449.821283074243,595.518844681455,501.946259891084,571.321122915298,551.865739349382,513.322827330675
crRNA0164:176-198,631.531266731957,740.876670211229,1274.66251239517,1238.76929190841,380.649775894726,512.333766006338
crRNA0165:177-199,560.272449611285,456.564447589115,748.449130524619,676.516758245734,507.533034526302,500.465030114299
crRNA0166:178-200,704.571554280646,602.562615962633,1882.61777882814,1587.00311920916,428.03990863664,315.510562463363
crRNA0167:179-201,488.122897276604,466.169590245268,1562.03632530991,1672.24785818383,177.330819292322,238.363779165111
crRNA0168:180-202,747.326844553049,786.341012117017,1827.69745013776,1703.98792056801,438.740906352556,506.399398060319
crRNA0169:181-203,619.060973735839,625.614958337399,590.074229184939,687.399065348883,528.935029958134,491.56347819527
