SC1_BIN1,SC1_BIN2,SC1_BIN3,SC1_BIN4,SC1_Input,SC2_BIN1,SC2_BIN2,SC2_BIN3,SC2_BIN4,SC2_Input,SC3_BIN1,SC3_BIN2,SC3_BIN3,SC3_BIN4,SC3_Input
crRNA001:1-27,730.00675515804,325.789401460118,345.557336701292,296.442825088774,465.324800496641,668.937912661002,193.204190083918,156.131250693096,318.688728069351,362.71391539006,896.475143781315,340.203821886621,210.179707515155,245.318866162134,565.319396297748
crRNA002:2-28,528.45036568285,257.338968706529,224.333593584307,232.372924182491,293.944014599441,613.091916322697,260.672319954493,185.520662588267,208.402652723155,296.400567978027,653.093760953918,191.050422143226,210.179707515155,206.987793324301,284.163207181581
crRNA003:6-32,309.109588901026,162.894700730059,124.010495832319,158.74035149915,157.87805731136,509.898227436699,220.804788667335,143.273382988958,102.680139115423,241.139445134666,332.661990598251,130.71870988747,179.389049726311,134.158754932417,2402.60743426543
crRNA004:7-33,363.309626406959,167.227006600539,161.631657489314,104.233122369924,167.22610017848,642.228957890509,210.071222551562,154.294412449647,118.652605200045,227.07297750181,408.489356102264,113.121960479542,117.807734148622,164.823613202684,246.575481363911
crRNA004:7-33_consecDouble_01,347.218990272385,129.102714940313,107.754438326209,98.4955193036894,508.949000543201,409.132625348018,15261.5976500416,97.3524269027537,112.567856215427,191.906808419672,364.460563228966,74.5766998716978,105.759215883422,111.160111229717,69759.812099529
crRNA004:7-33_consecDouble_02,237.972039674489,90.1119621059901,87.3182517471007,57.3760306623434,112.17651440544,336.290021428489,76.6683293983802,88.1682356855128,59.3263026000223,136.645685576311,216.474898293715,59.4937718077589,49.5327973124888,94.5499796666558,183.428101990227
crRNA004:7-33_consecDouble_03,221.034527953884,168.093467774635,136.086424265428,106.145656725335,162.03274303008,309.581066657996,233.071721371076,369.204486933085,127.779728676971,197.935294548038,226.259074487781,130.71870988747,105.759215883422,113.715516085573,159.371957466918
crRNA004:7-33_consecDouble_04,178.690748652374,205.351298260766,247.556532878748,182.647030941793,196.308900209521,189.390770190774,276.005985834169,258.994192326194,200.036122869306,206.978023740588,162.66192922635,170.939851391307,222.228225780355,218.487115175651,168.393011663159
crRNA004:7-33_consecDouble_05,130.418840248652,110.040569110199,173.707585922424,112.839526969275,127.75658585064,106.835819081975,150.269925620825,235.115295161368,134.625071284666,121.574470255394,67.2662113342051,166.750149151324,180.727773978,150.768886495478,133.812303910903
crRNA004:7-33_consecDouble_06,1332.13529682552,168.093467774635,229.907099014973,172.12809198703,159.95540017072,242.808679731761,156.403391972696,304.915148412399,245.671740253939,170.807106970388,167.554017323384,168.426030047317,220.889501528666,296.426963279245,192.449156186467
crRNA004:7-33_consecDouble_07,174.456370722223,188.888535952941,218.760088153641,189.340901185733,204.618271646961,166.323945616256,571.945737311916,268.178383543435,293.589138507803,238.125202070482,157.769841129317,165.074268255331,257.035056324266,282.37223657204,55682.4570262955
